feature,importance
digestion,2.45029690981724e-16
none of,2.445960101127298e-16
warm,2.437286483747414e-16
air,2.42861286636753e-16
pebbles,2.411265631607762e-16
sunlight oil,2.393918396847994e-16
fish,2.393918396847994e-16
is nonrenewable resource,2.393918396847994e-16
is nonrenewable,2.393918396847994e-16
sunlight oil and,2.393918396847994e-16
none,2.3765711620882257e-16
the digestion,2.3765711620882257e-16
the environment,2.3765711620882257e-16
being,2.3635607360183997e-16
state,2.3613923316734287e-16
state of,2.3592239273284576e-16
through the,2.3592239273284576e-16
transfer of heat,2.3418766925686896e-16
of heat energy,2.3418766925686896e-16
if,2.3418766925686896e-16
state of matter,2.3418766925686896e-16
transfer of,2.3418766925686896e-16
of matter,2.3418766925686896e-16
melt,2.3332030751888055e-16
it to,2.3245294578089215e-16
the river,2.3245294578089215e-16
become,2.3158558404290375e-16
deep,2.3158558404290375e-16
nutrients to,2.3071822230491534e-16
is common adaptation,2.2724877535296173e-16
adaptation,2.2724877535296173e-16
common adaptation,2.2724877535296173e-16
options driving in,2.2638141361497333e-16
other options driving,2.2638141361497333e-16
easier to,2.2638141361497333e-16
difficult time,2.2638141361497333e-16
rain are,2.2638141361497333e-16
rain are generally,2.2638141361497333e-16
have difficult time,2.2638141361497333e-16
difficult time seeing,2.2638141361497333e-16
have difficult,2.2638141361497333e-16
options driving,2.2638141361497333e-16
are generally easier,2.2638141361497333e-16
seeing,2.2638141361497333e-16
seeing the,2.2638141361497333e-16
seeing the road,2.2638141361497333e-16
generally easier to,2.2638141361497333e-16
generally easier,2.2638141361497333e-16
blizzard will,2.2638141361497333e-16
blizzard will have,2.2638141361497333e-16
spring morning and,2.2638141361497333e-16
and driving in,2.2638141361497333e-16
and driving,2.2638141361497333e-16
time seeing the,2.2638141361497333e-16
the blizzard will,2.2638141361497333e-16
the night driving,2.2638141361497333e-16
time seeing,2.2638141361497333e-16
the rain are,2.2638141361497333e-16
whereas the,2.2638141361497333e-16
will have difficult,2.2638141361497333e-16
morning and,2.2638141361497333e-16
morning and driving,2.2638141361497333e-16
whereas the other,2.2638141361497333e-16
night driving,2.2638141361497333e-16
night driving in,2.2638141361497333e-16
which is,2.255140518769849e-16
source,2.2166513416466138e-16
short,2.187919984075748e-16
to create,2.185751579730777e-16
the given options,2.1684043449710089e-16
resource meaning,2.1684043449710089e-16
resource meaning it,2.1684043449710089e-16
because coal is,2.1684043449710089e-16
because coal,2.1684043449710089e-16
given options,2.1684043449710089e-16
meaning it can,2.1684043449710089e-16
maintain its,2.1684043449710089e-16
is because coal,2.1684043449710089e-16
gas are all,2.1684043449710089e-16
meaning it,2.1684043449710089e-16
natural gas are,2.1684043449710089e-16
gas are,2.1684043449710089e-16
nonrenewable resource meaning,2.1684043449710089e-16
coal is nonrenewable,2.1684043449710089e-16
it can not,2.1684043449710089e-16
essential,2.1337098754514727e-16
bury,2.1250362580715887e-16
when,2.1163626406917047e-16
involves,2.1120258320017626e-16
and nutrients to,2.1082311243980634e-16
consume the,2.0816681711721685e-16
it is,2.0816681711721685e-16
is not,2.0643209364124004e-16
occur,2.0556473190325164e-16
heat energy,2.0513105103425744e-16
coal is the,2.0469737016526324e-16
digestion of food,2.0469737016526324e-16
are generally,2.0469737016526324e-16
non renewable,2.0383000842727483e-16
of its,2.0383000842727483e-16
at,2.0122792321330962e-16
is often,2.0068582212706687e-16
forms,2.0036056147532122e-16
less detailed,1.9949319973733282e-16
nutrients from,1.9949319973733282e-16
none of the,1.9949319973733282e-16
nutrients from the,1.9949319973733282e-16
relative,1.9949319973733282e-16
mind,1.986258379993444e-16
hive,1.986258379993444e-16
the hive,1.986258379993444e-16
the hive mind,1.986258379993444e-16
hive mind,1.986258379993444e-16
generally,1.97758476261356e-16
stem,1.9699953474061616e-16
heat and maintain,1.964574336543734e-16
when the body,1.964574336543734e-16
and maintain its,1.964574336543734e-16
material,1.960237527853792e-16
epidermis,1.95590071916385e-16
the epidermis,1.95590071916385e-16
part of the,1.942890293094024e-16
species,1.942890293094024e-16
warm air,1.940721888749053e-16
born,1.9255430583342559e-16
plant that,1.9255430583342559e-16
then,1.9255430583342559e-16
the object,1.9255430583342559e-16
process is common,1.9168694409543718e-16
adaptation to,1.9168694409543718e-16
whereas,1.9168694409543718e-16
common adaptation to,1.9168694409543718e-16
heater,1.9147010366094008e-16
the water heater,1.9147010366094008e-16
water heater,1.9147010366094008e-16
escape,1.9081958235744878e-16
water which,1.9081958235744878e-16
smoothing,1.9038590148845458e-16
large,1.9038590148845458e-16
lower,1.9038590148845458e-16
situation,1.8995222061946038e-16
allowing the,1.8962695996771473e-16
to catch,1.8951853975046618e-16
get nutrients,1.8908485888147197e-16
detailed,1.8908485888147197e-16
that can not,1.8865117801247777e-16
coal is non,1.8865117801247777e-16
can be replenished,1.8865117801247777e-16
non renewable resource,1.8865117801247777e-16
resource that can,1.8865117801247777e-16
is non renewable,1.8865117801247777e-16
is non,1.8865117801247777e-16
renewable resource,1.8865117801247777e-16
renewable resource that,1.8865117801247777e-16
causes,1.8821749714348357e-16
does,1.8735013540549517e-16
means,1.870790848623738e-16
which means,1.870790848623738e-16
accurate,1.863743534502582e-16
will,1.8561541192951836e-16
the size,1.8561541192951836e-16
occurs,1.8561541192951836e-16
cement,1.8474805019152996e-16
abrasive,1.8474805019152996e-16
therefore the rationale,1.8423305415959934e-16
high,1.8401621372510224e-16
that carries,1.8388068845354155e-16
that carries water,1.8388068845354155e-16
carries water,1.8388068845354155e-16
the digestion of,1.8388068845354155e-16
into new,1.8388068845354155e-16
when it,1.8301332671555315e-16
is the most,1.8214596497756474e-16
plant species,1.8214596497756474e-16
including,1.8171228410857054e-16
morning,1.8144123356544917e-16
spring morning,1.8144123356544917e-16
difficult,1.8144123356544917e-16
the spring morning,1.8144123356544917e-16
in the spring,1.8144123356544917e-16
change,1.7997756063259374e-16
powerful,1.7911019889460533e-16
for the,1.7889335846010823e-16
reaction,1.7856809780836258e-16
rubbed,1.7780915628762273e-16
responsible for the,1.7737547541862853e-16
result of the,1.7639969346339157e-16
river is,1.7564075194265172e-16
become so,1.7564075194265172e-16
short period of,1.7564075194265172e-16
become so deep,1.7564075194265172e-16
short period,1.7564075194265172e-16
the river is,1.7564075194265172e-16
so deep,1.7564075194265172e-16
the colorado river,1.7553233172540317e-16
colorado river which,1.7553233172540317e-16
colorado river,1.7553233172540317e-16
the colorado,1.7553233172540317e-16
colorado,1.7553233172540317e-16
river which,1.7553233172540317e-16
river which is,1.7553233172540317e-16
carved,1.7553233172540317e-16
oxygen,1.7520707107365752e-16
result of,1.7520707107365752e-16
placed,1.7520707107365752e-16
crucial,1.7455654977016621e-16
especially,1.7433970933566911e-16
not the,1.739060284666749e-16
hail are,1.726049858596923e-16
and hail are,1.726049858596923e-16
ball,1.717376241217039e-16
moves,1.700029006457271e-16
they will,1.700029006457271e-16
removing material,1.700029006457271e-16
lead,1.700029006457271e-16
lead to,1.700029006457271e-16
in many,1.695692197767329e-16
the spring,1.687018580387445e-16
an object,1.682681771697503e-16
method of,1.6653345369377348e-16
method,1.6653345369377348e-16
the rain,1.6620819304202783e-16
in the rain,1.6620819304202783e-16
allows,1.6566609195578508e-16
them,1.6566609195578508e-16
gradually,1.6566609195578508e-16
such,1.6544925152128798e-16
and consume,1.6479873021779667e-16
and it is,1.6479873021779667e-16
descriptions,1.6393136847980827e-16
descriptions of,1.6393136847980827e-16
not accurate,1.6393136847980827e-16
not accurate descriptions,1.6393136847980827e-16
descriptions of the,1.6393136847980827e-16
are not accurate,1.6393136847980827e-16
accurate descriptions of,1.6393136847980827e-16
accurate descriptions,1.6393136847980827e-16
which can,1.6306400674181987e-16
over time,1.607871821796003e-16
is the,1.5959455978986625e-16
deep and,1.5823930707425937e-16
process,1.5785983631388945e-16
when the,1.5785983631388945e-16
taking,1.577514160966409e-16
taking shorter,1.577514160966409e-16
taking shorter showers,1.577514160966409e-16
showers,1.577514160966409e-16
shorter showers,1.577514160966409e-16
shorter,1.577514160966409e-16
catch,1.5693826446727677e-16
skin,1.5612511283791264e-16
the skin,1.5612511283791264e-16
digestion of,1.5612511283791264e-16
resources that,1.5612511283791264e-16
is used,1.5439038936193583e-16
is used to,1.5439038936193583e-16
its state of,1.5439038936193583e-16
the transfer,1.5439038936193583e-16
the transfer of,1.5439038936193583e-16
can be,1.5439038936193583e-16
relative to the,1.5428196914468728e-16
relative to,1.5428196914468728e-16
answer therefore,1.5352302762394743e-16
direct,1.5352302762394743e-16
correct answer therefore,1.5352302762394743e-16
not get,1.5352302762394743e-16
do not get,1.5352302762394743e-16
is especially,1.5265566588595902e-16
this is especially,1.5265566588595902e-16
neighbors,1.5265566588595902e-16
neighbors the,1.5265566588595902e-16
over,1.5092094240998222e-16
powerful river,1.5005358067199381e-16
water sources,1.5005358067199381e-16
because the colorado,1.5005358067199381e-16
is powerful river,1.5005358067199381e-16
is powerful,1.5005358067199381e-16
carved the,1.5005358067199381e-16
carved the grand,1.5005358067199381e-16
of the grand,1.5005358067199381e-16
should,1.491862189340054e-16
leading to,1.491862189340054e-16
in humans,1.491862189340054e-16
size of,1.491862189340054e-16
one moves,1.491862189340054e-16
important,1.491862189340054e-16
as one,1.491862189340054e-16
as one moves,1.491862189340054e-16
leading,1.491862189340054e-16
the sound,1.474514954580286e-16
sound waves,1.474514954580286e-16
the sound waves,1.474514954580286e-16
waves,1.474514954580286e-16
will have in,1.470178145890344e-16
stored,1.470178145890344e-16
body weight,1.470178145890344e-16
the more nutrients,1.470178145890344e-16
smoother,1.4669255393728875e-16
for this question,1.466654488829766e-16
environment,1.465841337200402e-16
intake,1.465841337200402e-16
spring,1.465841337200402e-16
to the object,1.463672932855431e-16
was,1.457167719820518e-16
fog,1.457167719820518e-16
sound,1.452830911130576e-16
which they,1.452830911130576e-16
liquid,1.448494102440634e-16
effect,1.43982048506075e-16
mind is,1.4268100589909238e-16
plant including,1.4268100589909238e-16
to various parts,1.4268100589909238e-16
nutrients to various,1.4268100589909238e-16
occurs when,1.4268100589909238e-16
to various,1.4268100589909238e-16
hive mind is,1.4268100589909238e-16
place,1.4268100589909238e-16
the plant including,1.4268100589909238e-16
various parts of,1.4268100589909238e-16
various parts,1.4268100589909238e-16
in the formation,1.4224732503009818e-16
the formation,1.4224732503009818e-16
formation of,1.4224732503009818e-16
formation,1.4224732503009818e-16
the formation of,1.4224732503009818e-16
bury their,1.4181364416110398e-16
many plant,1.4181364416110398e-16
bury their food,1.4181364416110398e-16
low,1.4181364416110398e-16
in many plant,1.4181364416110398e-16
many plant species,1.4181364416110398e-16
their food in,1.4181364416110398e-16
their food,1.4181364416110398e-16
the risk,1.4116312285761268e-16
risk of,1.4116312285761268e-16
which can make,1.4116312285761268e-16
the risk of,1.4116312285761268e-16
risk,1.4116312285761268e-16
is common,1.4051260155412137e-16
appear,1.4051260155412137e-16
role,1.4051260155412137e-16
role in,1.4051260155412137e-16
each other,1.3964523981613297e-16
against each other,1.3964523981613297e-16
against each,1.3964523981613297e-16
each,1.3964523981613297e-16
weight,1.3899471851264167e-16
pasta,1.3877787807814457e-16
abrasive is,1.3877787807814457e-16
not cause,1.3877787807814457e-16
this is,1.3877787807814457e-16
or the,1.3791051634015616e-16
chemical reaction,1.3747683547116196e-16
can make,1.3704315460216776e-16
the plant stem,1.3704315460216776e-16
does not,1.3704315460216776e-16
source of,1.3682631416767066e-16
cubes,1.3660947373317356e-16
hail are forms,1.3660947373317356e-16
forms of precipitation,1.3660947373317356e-16
ice cubes,1.3660947373317356e-16
are forms,1.3660947373317356e-16
of precipitation that,1.3660947373317356e-16
of precipitation,1.3660947373317356e-16
are forms of,1.3660947373317356e-16
from the sky,1.3660947373317356e-16
potentially increase the,1.3617579286417936e-16
the mirrors are,1.3617579286417936e-16
angled incorrectly,1.3617579286417936e-16
which allows,1.3617579286417936e-16
appear less,1.3617579286417936e-16
appear less detailed,1.3617579286417936e-16
side mirrors while,1.3617579286417936e-16
and potentially increase,1.3617579286417936e-16
because amoebas,1.3617579286417936e-16
the reflective,1.3617579286417936e-16
position relative,1.3617579286417936e-16
position,1.3617579286417936e-16
vehicle direction this,1.3617579286417936e-16
the mirrors to,1.3617579286417936e-16
the mirrors which,1.3617579286417936e-16
position relative to,1.3617579286417936e-16
the reflective properties,1.3617579286417936e-16
wrong,1.3617579286417936e-16
potentially increase,1.3617579286417936e-16
is because amoebas,1.3617579286417936e-16
vehicle direction,1.3617579286417936e-16
pedestrians this,1.3617579286417936e-16
pedestrians this is,1.3617579286417936e-16
angled,1.3617579286417936e-16
are angled,1.3617579286417936e-16
visibility it essential,1.3617579286417936e-16
accidents,1.3617579286417936e-16
visibility it,1.3617579286417936e-16
to the vehicle,1.3617579286417936e-16
properties of the,1.3617579286417936e-16
too low or,1.3617579286417936e-16
too low,1.3617579286417936e-16
are angled incorrectly,1.3617579286417936e-16
are placed too,1.3617579286417936e-16
to the reflective,1.3617579286417936e-16
are placed,1.3617579286417936e-16
too high,1.3617579286417936e-16
while driving can,1.3617579286417936e-16
reflective properties,1.3617579286417936e-16
reflective properties of,1.3617579286417936e-16
too high or,1.3617579286417936e-16
visibility due,1.3617579286417936e-16
true if the,1.3617579286417936e-16
visibility due to,1.3617579286417936e-16
true if,1.3617579286417936e-16
reflective,1.3617579286417936e-16
such as if,1.3617579286417936e-16
properties of,1.3617579286417936e-16
wrong position,1.3617579286417936e-16
risk of accidents,1.3617579286417936e-16
placed too high,1.3617579286417936e-16
amoebas get nutrients,1.3617579286417936e-16
amoebas get,1.3617579286417936e-16
placed too,1.3617579286417936e-16
wrong position relative,1.3617579286417936e-16
as if,1.3617579286417936e-16
as if they,1.3617579286417936e-16
accidents to improve,1.3617579286417936e-16
accidents to,1.3617579286417936e-16
while water,1.3574211199518516e-16
of smoothing,1.3574211199518516e-16
used by,1.3530843112619095e-16
used by the,1.3530843112619095e-16
therefore the question,1.3444106938820255e-16
from the food,1.3357370765021415e-16
are responsible,1.3183898417423734e-16
are responsible for,1.3183898417423734e-16
for the plant,1.3183898417423734e-16
pan,1.3097162243624894e-16
properties,1.3097162243624894e-16
hot pan,1.3097162243624894e-16
increases its,1.3053794156725473e-16
the fish,1.3010426069826053e-16
the pebbles,1.3010426069826053e-16
the bat,1.3010426069826053e-16
bat,1.3010426069826053e-16
process where the,1.2967057982926633e-16
process where,1.2967057982926633e-16
the food,1.2923689896027213e-16
raindrops but,1.2923689896027213e-16
that can occur,1.2923689896027213e-16
air indicating,1.2923689896027213e-16
solid forms,1.2923689896027213e-16
comes into,1.2923689896027213e-16
air indicating that,1.2923689896027213e-16
warm air indicating,1.2923689896027213e-16
raindrops but their,1.2923689896027213e-16
contact with,1.2923689896027213e-16
comes,1.2923689896027213e-16
see,1.2923689896027213e-16
contact,1.2923689896027213e-16
are both solid,1.2923689896027213e-16
warm air causing,1.2923689896027213e-16
that occur when,1.2923689896027213e-16
raindrops when,1.2923689896027213e-16
raindrops when ice,1.2923689896027213e-16
sky in,1.2923689896027213e-16
sky in contrast,1.2923689896027213e-16
comes into contact,1.2923689896027213e-16
to melt,1.2923689896027213e-16
are both,1.2923689896027213e-16
solid forms of,1.2923689896027213e-16
point is lower,1.2923689896027213e-16
also melt,1.2923689896027213e-16
into contact with,1.2923689896027213e-16
into contact,1.2923689896027213e-16
the sky in,1.2923689896027213e-16
precipitation that occur,1.2923689896027213e-16
air they can,1.2923689896027213e-16
when ice cubes,1.2923689896027213e-16
precipitation that can,1.2923689896027213e-16
also melt into,1.2923689896027213e-16
air causing them,1.2923689896027213e-16
study,1.2923689896027213e-16
air causing,1.2923689896027213e-16
point,1.2923689896027213e-16
point is,1.2923689896027213e-16
air they,1.2923689896027213e-16
rain,1.2836953722228372e-16
squirrels,1.2836953722228372e-16
are not moving,1.2758349064723173e-16
person is walking,1.2758349064723173e-16
which means they,1.2758349064723173e-16
quickly which means,1.2758349064723173e-16
slowly,1.2758349064723173e-16
walking quickly,1.2758349064723173e-16
quickly which,1.2758349064723173e-16
walking quickly which,1.2758349064723173e-16
are born,1.2750217548429532e-16
true,1.2706849461530112e-16
in the blizzard,1.2663481374630692e-16
are in the,1.2663481374630692e-16
because taking,1.2663481374630692e-16
because taking shorter,1.2663481374630692e-16
are in,1.2663481374630692e-16
is because taking,1.2663481374630692e-16
the blizzard,1.2663481374630692e-16
because the plant,1.2663481374630692e-16
the heat,1.2576745200831851e-16
options being,1.2576745200831851e-16
cause the,1.2544219135657286e-16
when an,1.249000902703301e-16
because when an,1.249000902703301e-16
the body from,1.242495689668388e-16
body from,1.242495689668388e-16
which causes,1.2392430831509316e-16
turning in,1.2392430831509316e-16
turning in circular,1.2392430831509316e-16
wheels are,1.2392430831509316e-16
wheels are turning,1.2392430831509316e-16
are turning,1.2392430831509316e-16
are turning in,1.2392430831509316e-16
which causes the,1.2392430831509316e-16
food source,1.235990476633475e-16
this can,1.231653667943533e-16
locations,1.2305694657710475e-16
nutrients they,1.227316859253591e-16
not involve,1.218643241873707e-16
involve,1.218643241873707e-16
where water,1.214306433183765e-16
conserve,1.214306433183765e-16
so,1.214306433183765e-16
process is,1.214306433183765e-16
increase in,1.209969624493823e-16
causing the pebbles,1.209969624493823e-16
and is,1.201296007113939e-16
plant growth and,1.196959198423997e-16
therefore none of,1.196959198423997e-16
because plant stem,1.196959198423997e-16
the plant growth,1.196959198423997e-16
amoebas,1.196959198423997e-16
therefore none,1.196959198423997e-16
because plant,1.196959198423997e-16
is because plant,1.196959198423997e-16
to other,1.196959198423997e-16
the leaves,1.196959198423997e-16
front,1.1937065919065404e-16
the front,1.1937065919065404e-16
its face,1.1937065919065404e-16
front of its,1.1937065919065404e-16
front of,1.1937065919065404e-16
face,1.1937065919065404e-16
because the pelican,1.1937065919065404e-16
the front of,1.1937065919065404e-16
of its face,1.1937065919065404e-16
is known,1.192622389734055e-16
is known as,1.192622389734055e-16
transfer,1.1904539853890839e-16
that occurs,1.1839487723541708e-16
causes the,1.1839487723541708e-16
water from,1.1796119636642288e-16
activities,1.1796119636642288e-16
growth and,1.1752751549742868e-16
it is hot,1.1709383462843448e-16
the process,1.1709383462843448e-16
bath,1.1709383462843448e-16
when it is,1.1709383462843448e-16
is hot,1.1709383462843448e-16
do not involve,1.1709383462843448e-16
comfortable when,1.1709383462843448e-16
more comfortable when,1.1709383462843448e-16
comfortable,1.1709383462843448e-16
comfortable when it,1.1709383462843448e-16
more comfortable,1.1709383462843448e-16
the more food,1.1698541441118593e-16
not produce,1.1647041837925531e-16
the most,1.1622647289044608e-16
distant object,1.1622647289044608e-16
distant,1.1622647289044608e-16
most,1.1622647289044608e-16
large rivers,1.1579279202145187e-16
is large,1.1579279202145187e-16
and potentially,1.1535911115245767e-16
food in humans,1.1535911115245767e-16
an abrasive,1.1535911115245767e-16
of food in,1.1535911115245767e-16
in the digestion,1.1535911115245767e-16
the back,1.1449174941446927e-16
the back of,1.1449174941446927e-16
back of its,1.1449174941446927e-16
back of,1.1449174941446927e-16
back,1.1449174941446927e-16
the person,1.1449174941446927e-16
room,1.1424780392566003e-16
at room,1.1424780392566003e-16
room temperature,1.1424780392566003e-16
at room temperature,1.1424780392566003e-16
such as,1.1362438767648086e-16
road whereas the,1.1319070680748666e-16
the lighter conditions,1.1319070680748666e-16
the lighter,1.1319070680748666e-16
road whereas,1.1319070680748666e-16
road due to,1.1319070680748666e-16
snow and,1.1319070680748666e-16
road due,1.1319070680748666e-16
the road due,1.1319070680748666e-16
the road whereas,1.1319070680748666e-16
leaves,1.1319070680748666e-16
to the lighter,1.1319070680748666e-16
snow and fog,1.1319070680748666e-16
see due,1.1319070680748666e-16
see due to,1.1319070680748666e-16
to see due,1.1319070680748666e-16
the ball,1.1275702593849246e-16
is the correct,1.1275702593849246e-16
water which is,1.1275702593849246e-16
the epidermis is,1.124317652867468e-16
because the epidermis,1.124317652867468e-16
epidermis is the,1.124317652867468e-16
epidermis is,1.124317652867468e-16
to become,1.1216071474362543e-16
at the,1.1210650463500116e-16
one moves farther,1.1188966420050406e-16
away and,1.1188966420050406e-16
farther away,1.1188966420050406e-16
moves farther,1.1188966420050406e-16
moves farther away,1.1188966420050406e-16
size of the,1.1188966420050406e-16
farther away and,1.1188966420050406e-16
the size of,1.1188966420050406e-16
farther,1.1188966420050406e-16
sun,1.1102230246251565e-16
brackish,1.1102230246251565e-16
person driving,1.1102230246251565e-16
person driving in,1.1102230246251565e-16
the sun,1.1102230246251565e-16
for this,1.1080546202801855e-16
rationale for this,1.1080546202801855e-16
are non,1.1015494072452725e-16
geological,1.0928757898653885e-16
the night,1.0907073855204175e-16
in the night,1.0907073855204175e-16
used to create,1.0842021724855044e-16
what,1.0842021724855044e-16
person is,1.0820337681405334e-16
the person is,1.0820337681405334e-16
crucial role,1.0820337681405334e-16
crucial role in,1.0820337681405334e-16
tubes,1.0798653637955624e-16
plant stem contains,1.0798653637955624e-16
stem contains,1.0798653637955624e-16
of tubes,1.0798653637955624e-16
nutrients to the,1.0798653637955624e-16
time this,1.0668549377257364e-16
by the water,1.0625181290357943e-16
can decrease visibility,1.0581813203458523e-16
can decrease,1.0581813203458523e-16
is part,1.0495077029659683e-16
be correct,1.0495077029659683e-16
be correct based,1.0495077029659683e-16
plant including the,1.0495077029659683e-16
including the,1.0495077029659683e-16
not part of,1.0495077029659683e-16
water therefore,1.0495077029659683e-16
the leaves which,1.0495077029659683e-16
stem is part,1.0495077029659683e-16
sun is not,1.0495077029659683e-16
not part,1.0495077029659683e-16
plant the hive,1.0495077029659683e-16
the environment is,1.0495077029659683e-16
plant that carries,1.0495077029659683e-16
answers can,1.0495077029659683e-16
answers can be,1.0495077029659683e-16
the plant the,1.0495077029659683e-16
plant stem is,1.0495077029659683e-16
the plant itself,1.0495077029659683e-16
plant itself is,1.0495077029659683e-16
source of food,1.0495077029659683e-16
environment is,1.0495077029659683e-16
is part of,1.0495077029659683e-16
large the,1.0495077029659683e-16
situation the,1.0495077029659683e-16
situation the sun,1.0495077029659683e-16
water therefore none,1.0495077029659683e-16
part of plant,1.0495077029659683e-16
which are responsible,1.0495077029659683e-16
plant itself,1.0495077029659683e-16
amount of,1.0408340855860843e-16
amount,1.0408340855860843e-16
do not provide,1.0408340855860843e-16
transporting water,1.0408340855860843e-16
mechanism,1.0408340855860843e-16
transporting,1.0408340855860843e-16
transporting water and,1.0408340855860843e-16
and the plant,1.0343288725511712e-16
vascular,1.0299920638612292e-16
vascular system,1.0299920638612292e-16
rubbed against,1.0278236595162582e-16
processing coal,1.0234868508263162e-16
various forms such,1.0234868508263162e-16
such as coal,1.0234868508263162e-16
process of extracting,1.0234868508263162e-16
